P46527,a,All alpha proteins,a.288,UraD-like,a.288.1,UraD-Like,a.288.1.1,UraD-like,5.86
Q03135,d,Alpha and beta proteins (a+b),d.238,Hypothetical protein TM0875,d.238.1,Hypothetical protein TM0875,d.238.1.1,Hypothetical protein TM0875,2.1
Q03135,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.0,automated matches,1.96
Q03135,f,Membrane and cell surface proteins and peptides,f.62,Diacylglycerol kinase (DgkA)-like,f.62.1,Diacylglycerol kinase (DgkA)-like,f.62.1.1,Diacylglycerol kinase (DgkA)-like,1.95
Q03135,d,Alpha and beta proteins (a+b),d.241,Ribosome binding domain-like,d.241.1,Translation initiation factor 2 beta, aIF2beta, N-terminal domain,d.241.1.1,Translation initiation factor 2 beta, aIF2beta, N-terminal domain,1.74
O60238,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.25,PetM subunit of the cytochrome b6f complex,f.23.25.1,PetM subunit of the cytochrome b6f complex,46
O60238,a,All alpha proteins,a.29,Bromodomain-like,a.29.10,MAST3 pre-PK domain-like,a.29.10.1,MAST3 pre-PK domain-like,5.21
O60238,a,All alpha proteins,a.55,IHF-like DNA-binding proteins,a.55.1,IHF-like DNA-binding proteins,a.55.1.0,automated matches,5.16
O60238,a,All alpha proteins,a.55,IHF-like DNA-binding proteins,a.55.1,IHF-like DNA-binding proteins,a.55.1.2,DNA-binding domain (fragment?) of the TraM protein,4.89
O60238,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.28,Preprotein translocase SecE subunit,f.23.28.1,Preprotein translocase SecE subunit,2.89
O60238,f,Membrane and cell surface proteins and peptides,f.49,Proton glutamate symport protein,f.49.1,Proton glutamate symport protein,f.49.1.1,Proton glutamate symport protein,2.71
O60238,f,Membrane and cell surface proteins and peptides,f.1,Toxins' membrane translocation domains,f.1.1,Colicin,f.1.1.1,Colicin,2.55
A6ND01,g,Small proteins,g.9,Defensin-like,g.9.1,Defensin-like,g.9.1.1,Defensin,7.86
A6ND01,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.6,omega toxin-like,g.3.6.2,Spider toxins,4.97
A6ND01,g,Small proteins,g.2,Toxic hairpin,g.2.2,Neurotoxin B-IV,g.2.2.1,Neurotoxin B-IV,3.57
A6ND01,g,Small proteins,g.69,Plant proteinase inhibitors,g.69.1,Plant proteinase inhibitors,g.69.1.1,Plant proteinase inhibitors,1.98
A6ND01,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.20,Subunit PsaX of photosystem I reaction centre,f.23.20.1,Subunit PsaX of photosystem I reaction centre,1.02
A6ND01,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.10,Colipase-like,g.3.10.1,Colipase-like,0.92
A6ND01,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.10,Colipase-like,g.3.10.0,automated matches,0.69
Q9UJU2,a,All alpha proteins,a.21,HMG-box,a.21.1,HMG-box,a.21.1.1,HMG-box,98.66
Q9UJU2,a,All alpha proteins,a.21,HMG-box,a.21.1,HMG-box,a.21.1.0,automated matches,98.59
P30279,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.1,Cyclin,99.8
P30279,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.2,Transcription factor IIB (TFIIB), core domain,98.57
P30279,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.0,automated matches,97.28
O14944,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.1,EGF-type module,96.53
O14944,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.0,automated matches,85.5
O14944,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.6,Integrin beta EGF-like domains,80.49
O14944,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.43,ATP1G1/PLM/MAT8-like (FXYD-like),f.23.43.1,ATP1G1/PLM/MAT8-like (FXYD-like),69.84
O14944,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.5,EGF-like domain of nidogen-1,38.24
O14944,f,Membrane and cell surface proteins and peptides,f.17,Transmembrane helix hairpin,f.17.2,Cytochrome c oxidase subunit II-like, transmembrane region,f.17.2.1,Cytochrome c oxidase subunit II-like, transmembrane region,31.12
O14944,g,Small proteins,g.24,TNF receptor-like,g.24.1,TNF receptor-like,g.24.1.0,automated matches,28.23
Q8WUM9,f,Membrane and cell surface proteins and peptides,f.19,Aquaporin-like,f.19.1,Aquaporin-like,f.19.1.1,Aquaporin-like,1.95
Q8WUM9,a,All alpha proteins,a.209,ADP-ribosylglycohydrolase,a.209.1,ADP-ribosylglycohydrolase,a.209.1.1,ADP-ribosylglycohydrolase,1.13
Q8WUM9,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.43,ATP1G1/PLM/MAT8-like (FXYD-like),f.23.43.1,ATP1G1/PLM/MAT8-like (FXYD-like),0.53
Q8WUM9,c,Alpha and beta proteins (a/b),c.55,Ribonuclease H-like motif,c.55.1,Actin-like ATPase domain,c.55.1.3,Hexokinase,0.39
Q8WUM9,a,All alpha proteins,a.45,GST C-terminal domain-like,a.45.1,GST C-terminal domain-like,a.45.1.1,Glutathione S-transferase (GST), C-terminal domain,0.35
Q8WUM9,e,Multi-domain proteins (alpha and beta),e.53,QueA-like,e.53.1,QueA-like,e.53.1.1,QueA-like,0.3
Q8WUM9,c,Alpha and beta proteins (a/b),c.23,Flavodoxin-like,c.23.10,SGNH hydrolase,c.23.10.5,TAP-like,0.27
Q8WUM9,d,Alpha and beta proteins (a+b),d.167,Peptide deformylase,d.167.1,Peptide deformylase,d.167.1.1,Peptide deformylase,0.27
Q96AJ1,a,All alpha proteins,a.40,CH domain-like,a.40.1,Calponin-homology domain, CH-domain,a.40.1.1,Calponin-homology domain, CH-domain,59.14
Q96AJ1,a,All alpha proteins,a.5,RuvA C-terminal domain-like,a.5.2,UBA-like,a.5.2.1,UBA domain,33.2
Q96AJ1,a,All alpha proteins,a.5,RuvA C-terminal domain-like,a.5.2,UBA-like,a.5.2.0,automated matches,25.36
Q96AJ1,f,Membrane and cell surface proteins and peptides,f.48,OmpH-like,f.48.1,OmpH-like,f.48.1.1,OmpH-like,24.9
Q96AJ1,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.15,Xylose isomerase-like,c.1.15.5,Hypothetical protein YgbM (EC1530),17.11
P18847,a,All alpha proteins,a.37,A DNA-binding domain in eukaryotic transcription factors,a.37.1,A DNA-binding domain in eukaryotic transcription factors,a.37.1.1,A DNA-binding domain in eukaryotic transcription factors,95.28
P18847,a,All alpha proteins,a.38,HLH-like,a.38.1,HLH, helix-loop-helix DNA-binding domain,a.38.1.1,HLH, helix-loop-helix DNA-binding domain,84.07
P18847,d,Alpha and beta proteins (a+b),d.362,BLRF2-like,d.362.1,BLRF2-like,d.362.1.1,BLRF2-like,52.5
P18847,e,Multi-domain proteins (alpha and beta),e.63,E2F-DP heterodimerization region,e.63.1,E2F-DP heterodimerization region,e.63.1.2,E2F dimerization segment,43.18
P18847,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.5,Prefoldin,a.2.5.1,Prefoldin,36.07
P18847,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.7,tRNA-binding arm,a.2.7.4,Methicillin resistance protein FemA probable tRNA-binding arm,30.2
P18847,e,Multi-domain proteins (alpha and beta),e.63,E2F-DP heterodimerization region,e.63.1,E2F-DP heterodimerization region,e.63.1.1,DP dimerization segment,26.63
P24385,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.1,Cyclin,99.81
P24385,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.2,Transcription factor IIB (TFIIB), core domain,98.57
P24385,a,All alpha proteins,a.74,Cyclin-like,a.74.1,Cyclin-like,a.74.1.0,automated matches,97.4
P49810,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.25,PetM subunit of the cytochrome b6f complex,f.23.25.1,PetM subunit of the cytochrome b6f complex,6.08
P49810,f,Membrane and cell surface proteins and peptides,f.17,Transmembrane helix hairpin,f.17.2,Cytochrome c oxidase subunit II-like, transmembrane region,f.17.2.1,Cytochrome c oxidase subunit II-like, transmembrane region,3.97
P49810,f,Membrane and cell surface proteins and peptides,f.1,Toxins' membrane translocation domains,f.1.1,Colicin,f.1.1.1,Colicin,3.13
P49810,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.43,ATP1G1/PLM/MAT8-like (FXYD-like),f.23.43.1,ATP1G1/PLM/MAT8-like (FXYD-like),1.69
P49810,f,Membrane and cell surface proteins and peptides,f.62,Diacylglycerol kinase (DgkA)-like,f.62.1,Diacylglycerol kinase (DgkA)-like,f.62.1.1,Diacylglycerol kinase (DgkA)-like,1.58
P49810,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.21,Dihydropteroate synthetase-like,c.1.21.1,Dihydropteroate synthetase,1.39
P49810,d,Alpha and beta proteins (a+b),d.54,Enolase N-terminal domain-like,d.54.1,Enolase N-terminal domain-like,d.54.1.0,automated matches,1.07
O15519,a,All alpha proteins,a.77,DEATH domain,a.77.1,DEATH domain,a.77.1.4,DEATH effector domain, DED,99.41
O15519,a,All alpha proteins,a.77,DEATH domain,a.77.1,DEATH domain,a.77.1.0,automated matches,90.41
O15519,a,All alpha proteins,a.77,DEATH domain,a.77.1,DEATH domain,a.77.1.5,Pyrin domain, PYD,89.9
O15519,a,All alpha proteins,a.194,L27 domain,a.194.1,L27 domain,a.194.1.1,L27 domain,44.31
Q9NP84,g,Small proteins,g.24,TNF receptor-like,g.24.1,TNF receptor-like,g.24.1.2,BAFF receptor-like,91.39
Q9NP84,g,Small proteins,g.41,Rubredoxin-like,g.41.11,Ran binding protein zinc finger-like,g.41.11.1,Ran binding protein zinc finger-like,41.71
Q9NP84,g,Small proteins,g.24,TNF receptor-like,g.24.1,TNF receptor-like,g.24.1.1,TNF receptor-like,31.72
Q9NP84,g,Small proteins,g.41,Rubredoxin-like,g.41.18,YfgJ-like,g.41.18.1,YfgJ-like,25.77
Q9NP84,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.43,ATP1G1/PLM/MAT8-like (FXYD-like),f.23.43.1,ATP1G1/PLM/MAT8-like (FXYD-like),24.15
Q9NP84,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.9,Growth factor receptor domain,g.3.9.0,automated matches,24.14
Q9NP84,d,Alpha and beta proteins (a+b),d.58,Ferredoxin-like,d.58.1,4Fe-4S ferredoxins,d.58.1.1,Short-chain ferredoxins,21.32
P28907,a,All alpha proteins,a.140,LEM/SAP HeH motif,a.140.2,SAP domain,a.140.2.1,SAP domain,27.64
P28907,a,All alpha proteins,a.140,LEM/SAP HeH motif,a.140.3,Rho N-terminal domain-like,a.140.3.2,YqbF C-terminal domain-like,19.67
P28907,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.6,omega toxin-like,g.3.6.2,Spider toxins,3.75
P28907,a,All alpha proteins,a.43,Ribbon-helix-helix,a.43.1,Ribbon-helix-helix,a.43.1.9,VCA0319-like,3.6
P28907,d,Alpha and beta proteins (a+b),d.15,beta-Grasp (ubiquitin-like),d.15.1,Ubiquitin-like,d.15.1.1,Ubiquitin-related,3.18
P28907,c,Alpha and beta proteins (a/b),c.103,MTH938-like,c.103.1,MTH938-like,c.103.1.1,MTH938-like,2.94
P28907,a,All alpha proteins,a.26,4-helical cytokines,a.26.1,4-helical cytokines,a.26.1.2,Short-chain cytokines,2.68
Q96NN9,b,All beta proteins,b.33,ISP domain,b.33.1,ISP domain,b.33.1.0,automated matches,99.68
Q96NN9,b,All beta proteins,b.33,ISP domain,b.33.1,ISP domain,b.33.1.3,NirD-like,99.63
Q96NN9,b,All beta proteins,b.33,ISP domain,b.33.1,ISP domain,b.33.1.2,Ring hydroxylating alpha subunit ISP domain,99.56
Q96NN9,b,All beta proteins,b.33,ISP domain,b.33.1,ISP domain,b.33.1.1,Rieske iron-sulfur protein (ISP),99.36
Q96NN9,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.5,FAD/NAD-linked reductases, N-terminal and central domains,99.12
Q96NN9,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.7,GidA-like,99.01
Q96NN9,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.8,HI0933 N-terminal domain-like,99
Q96NN9,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.2,FAD-linked reductases, N-terminal domain,97.73
Q96NN9,c,Alpha and beta proteins (a/b),c.3,FAD/NAD(P)-binding domain,c.3.1,FAD/NAD(P)-binding domain,c.3.1.1,C-terminal domain of adrenodoxin reductase-like,97.54
Q96NN9,c,Alpha and beta proteins (a/b),c.4,Nucleotide-binding domain,c.4.1,Nucleotide-binding domain,c.4.1.1,N-terminal domain of adrenodoxin reductase-like,97.49
Q96NN9,c,Alpha and beta proteins (a/b),c.5,MurCD N-terminal domain,c.5.1,MurCD N-terminal domain,c.5.1.1,MurCD N-terminal domain,86.81
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.7,Aminoacid dehydrogenase-like, C-terminal domain,65.55
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.6,6-phosphogluconate dehydrogenase-like, N-terminal domain,64.34
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.5,LDH N-terminal domain-like,63.19
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.0,automated matches,62.72
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.4,Formate/glycerate dehydrogenases, NAD-domain,53.4
Q96NN9,c,Alpha and beta proteins (a/b),c.30,PreATP-grasp domain,c.30.1,PreATP-grasp domain,c.30.1.1,BC N-terminal domain-like,52.86
Q96NN9,c,Alpha and beta proteins (a/b),c.2,NAD(P)-binding Rossmann-fold domains,c.2.1,NAD(P)-binding Rossmann-fold domains,c.2.1.9,Potassium channel NAD-binding domain,51.44
Q96NN9,g,Small proteins,g.41,Rubredoxin-like,g.41.3,Zinc beta-ribbon,g.41.3.5,PhnA zinc-binding domain,47.95
Q96NN9,c,Alpha and beta proteins (a/b),c.30,PreATP-grasp domain,c.30.1,PreATP-grasp domain,c.30.1.0,automated matches,41.97
Q13489,g,Small proteins,g.52,Inhibitor of apoptosis (IAP) repeat,g.52.1,Inhibitor of apoptosis (IAP) repeat,g.52.1.0,automated matches,99.67
Q13489,g,Small proteins,g.52,Inhibitor of apoptosis (IAP) repeat,g.52.1,Inhibitor of apoptosis (IAP) repeat,g.52.1.1,Inhibitor of apoptosis (IAP) repeat,99.5
Q13489,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.1,RING finger domain, C3HC4,96.76
Q13489,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.2,U-box,88.7
Q13489,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.3,Variant RING domain,79.64
Q13489,a,All alpha proteins,a.5,RuvA C-terminal domain-like,a.5.2,UBA-like,a.5.2.1,UBA domain,57.47
Q13489,g,Small proteins,g.41,Rubredoxin-like,g.41.18,YfgJ-like,g.41.18.1,YfgJ-like,51
Q13489,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.11,RNA polymerase subunit RPB10,a.4.11.1,RNA polymerase subunit RPB10,43.99
P26583,a,All alpha proteins,a.21,HMG-box,a.21.1,HMG-box,a.21.1.0,automated matches,98.98
P26583,a,All alpha proteins,a.21,HMG-box,a.21.1,HMG-box,a.21.1.1,HMG-box,98.92
P51884,a,All alpha proteins,a.298,Left-handed alpha-alpha superhelix,a.298.1,TAL effector-like,a.298.1.1,TAL (transcription activator-like) effector,99.37
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.2,L domain-like,c.10.2.1,Internalin LRR domain,99.03
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.2,L domain-like,c.10.2.7,Ngr ectodomain-like,98.94
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.2,L domain-like,c.10.2.8,Polygalacturonase inhibiting protein PGIP,98.92
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.2,L domain-like,c.10.2.0,automated matches,98.9
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.1,RNI-like,c.10.1.0,automated matches,98.85
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.2,L domain-like,c.10.2.3,mRNA export factor tap,96.75
P51884,c,Alpha and beta proteins (a/b),c.10,Leucine-rich repeat, LRR (right-handed beta-alpha superhelix),c.10.1,RNI-like,c.10.1.1,28-residue LRR,96.54
P51884,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.6,omega toxin-like,g.3.6.1,Conotoxin,21.02
Q13464,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.7,Protein kinases, catalytic subunit,100
Q13464,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.0,automated matches,100
Q13464,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.6,APH phosphotransferases,97.32
Q13464,g,Small proteins,g.49,Cysteine-rich domain,g.49.1,Cysteine-rich domain,g.49.1.0,automated matches,96.45
Q13464,g,Small proteins,g.49,Cysteine-rich domain,g.49.1,Cysteine-rich domain,g.49.1.1,Protein kinase cysteine-rich domain (cys2, phorbol-binding domain),96.34
Q13464,b,All beta proteins,b.55,PH domain-like barrel,b.55.1,PH domain-like,b.55.1.1,Pleckstrin-homology domain (PH domain),78.65
Q13464,b,All beta proteins,b.55,PH domain-like barrel,b.55.1,PH domain-like,b.55.1.0,automated matches,73.77
Q13464,g,Small proteins,g.49,Cysteine-rich domain,g.49.1,Cysteine-rich domain,g.49.1.3,C1-like domain,29.46
Q13464,g,Small proteins,g.41,Rubredoxin-like,g.41.3,Zinc beta-ribbon,g.41.3.5,PhnA zinc-binding domain,23.76
Q13464,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.5,Prefoldin,a.2.5.1,Prefoldin,23.02
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.8,G proteins,99.74
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.0,automated matches,99.68
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.10,Nitrogenase iron protein-like,98.86
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.1,Nucleotide and nucleoside kinases,94.34
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.25,Atu3015-like,93.54
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.2,Shikimate kinase (AroK),93.1
P30679,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.24,Type II thymidine kinase,93.04
Q02846,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.7,Protein kinases, catalytic subunit,99.94
Q02846,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.0,automated matches,99.91
Q02846,d,Alpha and beta proteins (a+b),d.58,Ferredoxin-like,d.58.29,Nucleotide cyclase,d.58.29.1,Adenylyl and guanylyl cyclase catalytic domain,99.49
Q02846,c,Alpha and beta proteins (a/b),c.93,Periplasmic binding protein-like I,c.93.1,Periplasmic binding protein-like I,c.93.1.1,L-arabinose binding protein-like,99.47
Q02846,d,Alpha and beta proteins (a+b),d.58,Ferredoxin-like,d.58.29,Nucleotide cyclase,d.58.29.0,automated matches,99.44
Q02846,c,Alpha and beta proteins (a/b),c.93,Periplasmic binding protein-like I,c.93.1,Periplasmic binding protein-like I,c.93.1.0,automated matches,99.05
Q02846,d,Alpha and beta proteins (a+b),d.144,Protein kinase-like (PK-like),d.144.1,Protein kinase-like (PK-like),d.144.1.6,APH phosphotransferases,96.87
P38398,c,Alpha and beta proteins (a/b),c.15,BRCT domain,c.15.1,BRCT domain,c.15.1.3,BRCT domain,98
P38398,c,Alpha and beta proteins (a/b),c.15,BRCT domain,c.15.1,BRCT domain,c.15.1.2,DNA ligase,97.87
P38398,c,Alpha and beta proteins (a/b),c.15,BRCT domain,c.15.1,BRCT domain,c.15.1.0,automated matches,97.51
P38398,c,Alpha and beta proteins (a/b),c.15,BRCT domain,c.15.1,BRCT domain,c.15.1.5,DNA topoisomerase II binding protein 1, TopBP1,97.48
P38398,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.1,RING finger domain, C3HC4,96.2
P38398,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.2,U-box,95.19
P38398,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.0,automated matches,87.71
P38398,g,Small proteins,g.44,RING/U-box,g.44.1,RING/U-box,g.44.1.3,Variant RING domain,80.98
O75845,g,Small proteins,g.88,Intrinsically disordered proteins,g.88.1,TSP9-like,g.88.1.1,TSP9-like,5.9
O75845,f,Membrane and cell surface proteins and peptides,f.17,Transmembrane helix hairpin,f.17.2,Cytochrome c oxidase subunit II-like, transmembrane region,f.17.2.1,Cytochrome c oxidase subunit II-like, transmembrane region,5.06
O75845,a,All alpha proteins,a.282,RPA2825-like,a.282.1,RPA2825-like,a.282.1.1,RPA2825-like,3.92
O75845,b,All beta proteins,b.2,Common fold of diphtheria toxin/transcription factors/cytochrome f,b.2.5,p53-like transcription factors,b.2.5.5,STAT DNA-binding domain,1.82
O75845,b,All beta proteins,b.60,Lipocalins,b.60.1,Lipocalins,b.60.1.1,Retinol binding protein-like,1.22
O75845,f,Membrane and cell surface proteins and peptides,f.19,Aquaporin-like,f.19.1,Aquaporin-like,f.19.1.1,Aquaporin-like,1.2
O75845,d,Alpha and beta proteins (a+b),d.235,FYSH domain,d.235.1,FYSH domain,d.235.1.1,Hypothetical protein Yhr087W,0.9
O75845,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.28,Preprotein translocase SecE subunit,f.23.28.1,Preprotein translocase SecE subunit,0.88
O75845,d,Alpha and beta proteins (a+b),d.244,Cell division protein ZapA-like,d.244.1,Cell division protein ZapA-like,d.244.1.0,automated matches,0.65
O75845,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.16,Subunit III of photosystem I reaction centre, PsaF,f.23.16.0,automated matches,0.63
P46695,d,Alpha and beta proteins (a+b),d.76,GYF/BRK domain-like,d.76.2,BRK domain-like,d.76.2.1,BRK domain-like,27.17
P46695,d,Alpha and beta proteins (a+b),d.120,Cytochrome b5-like heme/steroid binding domain,d.120.1,Cytochrome b5-like heme/steroid binding domain,d.120.1.1,Cytochrome b5,9.38
P46695,a,All alpha proteins,a.26,4-helical cytokines,a.26.1,4-helical cytokines,a.26.1.1,Long-chain cytokines,8.83
P46695,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.23,Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor,f.23.23.1,Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor,8
O75293,d,Alpha and beta proteins (a+b),d.79,Bacillus chorismate mutase-like,d.79.3,L30e-like,d.79.3.1,L30e/L7ae ribosomal proteins,99.64
O75293,d,Alpha and beta proteins (a+b),d.79,Bacillus chorismate mutase-like,d.79.3,L30e-like,d.79.3.0,automated matches,87.76
O75293,d,Alpha and beta proteins (a+b),d.79,Bacillus chorismate mutase-like,d.79.3,L30e-like,d.79.3.2,ERF1/Dom34 C-terminal domain-like,78.27
P00750,b,All beta proteins,b.47,Trypsin-like serine proteases,b.47.1,Trypsin-like serine proteases,b.47.1.2,Eukaryotic proteases,100
P00750,b,All beta proteins,b.47,Trypsin-like serine proteases,b.47.1,Trypsin-like serine proteases,b.47.1.0,automated matches,99.95
P00750,b,All beta proteins,b.47,Trypsin-like serine proteases,b.47.1,Trypsin-like serine proteases,b.47.1.1,Prokaryotic proteases,99.93
P00750,g,Small proteins,g.14,Kringle-like,g.14.1,Kringle-like,g.14.1.1,Kringle modules,97.88
P00750,b,All beta proteins,b.47,Trypsin-like serine proteases,b.47.1,Trypsin-like serine proteases,b.47.1.4,Viral cysteine protease of trypsin fold,97.45
P00750,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.1,EGF-type module,95.85
P00750,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.0,automated matches,92.18
P00750,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.5,EGF-like domain of nidogen-1,64.3
P00750,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.6,Integrin beta EGF-like domains,54.91
Q15173,a,All alpha proteins,a.118,alpha-alpha superhelix,a.118.1,ARM repeat,a.118.1.20,B56-like,100
Q15173,a,All alpha proteins,a.118,alpha-alpha superhelix,a.118.1,ARM repeat,a.118.1.0,automated matches,78.11
Q15173,a,All alpha proteins,a.118,alpha-alpha superhelix,a.118.1,ARM repeat,a.118.1.1,Armadillo repeat,63.13
Q15173,a,All alpha proteins,a.118,alpha-alpha superhelix,a.118.1,ARM repeat,a.118.1.2,HEAT repeat,46.95
Q15173,a,All alpha proteins,a.118,alpha-alpha superhelix,a.118.1,ARM repeat,a.118.1.10,Clathrin adaptor core protein,44.92
